judul_berita;waktu_berita_detail;label
Bantuan dari Pemerintah untuk TKI;06/05/2025;0
Dedi Mulyadi Sebut Orang yang Ragukan Ijazah Jokowi sebagai Kaum Radikal;06/05/2025;0
Video Netanyahu Mengecam Presiden Prabowo;06/05/2025;0
Akun Facebook Tawarkan Bantuan Benih Ikan dari KKP;06/05/2025;0
PLN Bagikan Token Listrik Gratis Rp200.000;05/05/2025;0
Tautan Pendaftaran Guru Sekolah Rakyat;05/05/2025;0
Video Koalisi Indonesia-Rusia Melawan Israel;05/05/2025;0
PM Malaysia Anwar Ibrahim Dilarikan ke Rumah Sakit pada Akhir April 2025;05/05/2025;0
Rosianna Silalahi Promosi Pengobatan Mata dengan Soda Dapur;04/05/2025;0
Konser Sheila on 7 di Mako Ambon;04/05/2025;0
Mantan PM Malaysia Ismail Sabri Yaakob Meninggal pada April 2025;04/05/2025;0
Hary Tanoesoedibjo Bertemu Shimon Peres pada 2025;04/05/2025;0
 Video TKI Mengaku Dapat Bansos Rp300 Juta dari BP2MI;03/05/2025;0
Presiden Prabowo Resmi Copot Wakil Presiden pada Akhir April 2015;03/05/2025;0
Perpisahan Paus Fransiskus dengan Anjing Peliharaannya;03/05/2025;0
Gubernur DKI Jakarta Lantik Lima Pejabat Eselon II Pada Mei 2025;03/05/2025;0
Video Richard Lee Mempromosikan Minyak Ikan sebagai Obat Stroke;02/05/2025;0
Jokowi Sebut Peti Jenazah Paus Fransiskus Mengeluarkan Cahaya;02/05/2025;0
Tautan Rekrutmen Pegawai Koperasi Desa Merah Putih;02/05/2025;0
Video Ribuan Tumpukan Motor Sitaan akibat Tidak Bisa Ditebus;02/05/2025;0
41 Prajurit TNI Gugur di Gaza pada 25 April 2025;01/05/2025;0
Air Minum Dalam Kemasan Le Minerale Bukan Merek Lokal dan Dukung Genosida yang Dilakukan oleh Israel;01/05/2025;0
Prosesi Pemindahan Jenazah Paus Fransiskus;01/05/2025;0
Penemuan Makam Nabi di Tembok Besar Cina;01/05/2025;0
