judul_berita;waktu_berita_detail;label
Katy Perry dan Awak Perempuan Akhirnya Menembus Batas Atmosfer;14/04/2025;1
Tiga Bocah Jadi Korban Pencabulan Guru Hadroh di Ciputat;14/04/2025;1
2 Rumah La Nyalla di Surabaya Digeledah KPK, Berikut Kesaksian Keluarga;14/04/2025;1
Pengguna MyPertamina Meningkat Selama Masa Satgas Ramadhan dan Idul Fitri 2025;14/04/2025;1
Stres Bikin Asam Lambung Naik? Ini Penjelasan Medis dan Cara Mengatasinya;14/04/2025;1
NexT1DE Resmi Debut di Chuang Asia Season 2;14/04/2025;1
Live Timnas U17 Indonesia Vs Korea Utara: Garuda Asia Kemasukan Gol Cepat;14/04/2025;1
Harga Emas Naik Terus, Ini Pemicunya Menurut Analis;14/04/2025;1
Forbes Rilis Daftar Miliarder Dunia 2025: Siapa Terkaya, Siapa Terdepak?;14/04/2025;1
Rumah Untuk Alie, Film Menyentuh yang Ajak Akhiri Perundungan Dalam Keluarga;14/04/2025;1
200 Hektar Kawasan TN Gunung Merapi Rusak Parah Gegara Tambang Ilegal;14/04/2025;1
Heboh Uang Biru tapi Nominal Rp 5.000, Benarkah Salah Cetak?;14/04/2025;1
Kapan Waktu yang Tepat Mengajak Anak Konseling Pasca-perceraian Orangtua?;14/04/2025;1
Guru SMAN di Sukabumi yang Diduga Lecehkan Siswi Terancam Dipecat;14/04/2025;1
Selesaikan Masalah Meikarta, Maruarar Sebut Presiden Prabowo Dukung Pemanggilan Bos Lippo Group;14/04/2025;1
Cari Pekerjaan di Luar Negeri? Jangan ke Tiga Negara Ini!;14/04/2025;1
Fore Coffee Raup Dana IPO Rp 353,44 Miliar, Bakal Buka 140 Gerai Baru;14/04/2025;1
Ingin Memberi Makan Kucing Liar? Ini Jenis Makanan yang Dibutuhkan;14/04/2025;1
Apa Itu Uranium? Pahami Kegunaan dan Risikonya;14/04/2025;1
Jenis Makanan dan Minuman yang Bisa Memicu Kanker, Apa Saja?;14/04/2025;1
Segar di Mulut, Sehat di Tubuh, Ini 7 Manfaat Daun Mint;14/04/2025;1
Bupati Bawean Minta Bantuan Kementerian PU Bangun Jaringan Irigasi;14/04/2025;1
Waketum PKB: Tak Usah Politisasi Silaturahmi Para Menteri ke Jokowi;14/04/2025;1
Pertemuan Prabowo-Megawati, Siapa yang Paling Diuntungkan?;14/04/2025;1
KPK Buka Peluang Panggil La Nyalla Jadi Saksi Kasus Dana Hibah Jatim;14/04/2025;1
Musikal Petualangan Sherina Akan Hadir Kembali di Jakarta;14/04/2025;1
Ketua PN Jaksel di Perkara Ekspor CPO Dikenal Sosok Dermawan;14/04/2025;1
Demi Keselamatan, Jangan Matikan Mesin Saat Berkendara Turun di Jalur Kawah Ijen;14/04/2025;1
Saat Emas Antam Jadi Rebutan Pembeli...;14/04/2025;1
Raperda Limbah B3 Disetujui, Balikpapan Susun Perwali;14/04/2025;1
Luka Modric Jadi Pemilik Minor Klub Nathan Tjoe-A-On, Terus Bermain di Real Madrid;14/04/2025;1
PAM JAYA Hadirkan Water Purifier, Dorong Jakarta Jadi Kota Ramah Lingkungan dan Bebas Air Kemasan;14/04/2025;1
Kemendagri Minta Kepala Daerah Tanam Cabai dan Bawang Sendiri Buntut Inflasi;14/04/2025;1
"Kagetnya Warga Ambarawa, Tanah Miliknya ""Diduduki"" 6 Sertifikat Atas Nama Orang Lain";14/04/2025;1
PIS Tekan Emisi Karbon 51.000 Ton Sepanjang 2024;14/04/2025;1
Liput Sidang Pembunuhan oleh Pejabat Pemprov NTT, Wartawan Dipukul Keluarga Terdakwa;14/04/2025;1
Terpilih Jadi Ketua Umum Perbanas 2024–2028, Hery Gunardi Siap Perkuat Industri Perbankan Nasional;14/04/2025;1
Pemda di Jabar Diminta Sosialisasikan SE Larangan Minta Sumbangan di Jalan Raya;14/04/2025;1
Jadwal Penampilan Idol Kpop di Coachella 2025 Pekan Depan;14/04/2025;1
Bolehkah Kita Melewatkan Sarapan? Ini Kata Ahli Gizi;14/04/2025;1
Warga Bolak-balik Lihat Rusun Jagakarsa dan Tanya Cara Daftarnya;14/04/2025;1
Cara Akses ChatGPT via WhatsApp, Tanpa Perlu Unduh Aplikasi;14/04/2025;1
Ara Tawari Bos Ooredoo Lahan Strategis Perumahan;14/04/2025;1
Tarif Tol Tangerang-Merak Naik Mulai 15 April 2025, Ini Rinciannya;14/04/2025;1
Kasus Pemerkosaan oleh Oknum Dokter Residen RSHS, Wamen PPPA Soroti Pentingnya Pemantauan Psikologis;14/04/2025;1
Lirik dan Chord Lagu Selalu Ada di Nadimu, OST Film Jumbo;14/04/2025;1
Pertamina Sukses Laksanakan Satgas Ramadhan dan Idul Fitri 2025, Pasokan Energi Aman dan Layanan Prima;14/04/2025;1
Lantik Teddy Robinson Jadi Dirut PPK Kemayoran, Wamensesneg: Silakan Berinovasi;14/04/2025;1
Ibu Hamil 7 Bulan Tersangka Pemasok Sabu di Nunukan, Dapat Penanganan Khusus;14/04/2025;1
Kembalinya Jurusan di SMA, Curhat Orangtua: Anak Jadi Korban Kelinci Percobaan;14/04/2025;1
Wamendagri Minta Hasil Laut Masuk Menu MBG di Sultra;14/04/2025;1
Cegah Antrean Selama Program Pemutihan, Samsat Serpong Buka Layanan Lebih Awal;14/04/2025;1
10 Ide OOTD Musim Kemarau, Nyaman dan Stylish;14/04/2025;1
"10,67 Juta Orang Indonesia ""Terbang"" Saat Libur Lebaran";14/04/2025;1
China-Vietnam Teken Puluhan Kerja Sama di Tengah Tekanan Tarif Impor AS;14/04/2025;1
Diprediksi Lebih Singkat, Musim Kemarau 2025 sampai Bulan Apa?;14/04/2025;1
Jalan di Tangerang Ambles akibat Pergeseran Tanah;14/04/2025;1
Ini Toyota Alphard yang Kena Recall, Berapa Lama Proses Ganti Komponennya?;14/04/2025;1
90 Pelaku Narkotika Ditangkap di Makassar, Modus Selundupkan Ganja Lewat Knalpot Motor;14/04/2025;1
Reza Arap Bongkar Penghasilan Live Streaming Marapthon, Denny Sumargo: Serius Lo?;14/04/2025;1
Korban Penahanan Ijazah oleh Perusahaan di Surabaya Resmi Lapor Polisi;14/04/2025;1
Dana PIP 500 Siswa SMAN 7 Cirebon Dipotong, Partai Terlibat?;14/04/2025;1
Tarif Tol Naik Mulai Mei 2025, Ini Daftar Ruas dan Jadwal Kenaikannya;14/04/2025;1
Hagia Sophia di Turkiye Direnovasi, Upaya Melindunginya dari Gempa;14/04/2025;1
PLN dan Masdar Teken MoU Pengembangan PLTS Terapung di Indonesia;14/04/2025;1
Ayah yang Perkosa Anak Tiri di Bekasi Ancam Bunuh Ibu Korban jika Tak Dituruti;14/04/2025;1
Link Live Streaming dan Line Up Timnas U17 Indonesia Vs Korea Utara;14/04/2025;1
Alur Pelabuhan Membaik, KMP Pulo Tello Dijadwalkan Berlayar ke Enggano;14/04/2025;1
Pencuri Motor Kerap Pakai Kunci T, Polisi Imbau Warga Pasang Kunci Ganda atau Gembok;14/04/2025;1
[KLARIFIKASI] Video Hiu Serang Perahu Nelayan adalah Manipulasi AI;14/04/2025;1
Kesepakatan Qatar Investasi Rp 33,5 Triliun ke Danantara, Maruarar: Hanya Perlu 20 Menit;14/04/2025;1
Gejala Asam Urat yang Dirasakan di Kaki, Apa Saja?;14/04/2025;1
Link Live Streaming Timnas U17 Indonesia vs Korea Utara, Kick Off 21.00 WIB;14/04/2025;1
Pria Tanpa Identitas Ditemukan Meninggal di Sungai Krokosono Semarang Utara;14/04/2025;1
Suka Masak Pakai Daun Salam? Ini 7 Manfaatnya;14/04/2025;1
Dirut BRI Hery Gunardi Resmi Terpilih Jadi Ketum Perbanas;14/04/2025;1
4 Gerakan Telinga Kucing dan Artinya;14/04/2025;1
Plataran Indonesia Tanam 45.000 Pohon dari Tamu yang Datang;14/04/2025;1
4 Perubahan Perilaku yang Paling Efektif untuk Menurunkan Emisi Karbon;14/04/2025;1
BTN Hadirkan Jakarta International Marathon, Bidik Peningkatan Pengguna Bale;14/04/2025;1
KemenP2MI dan Pemkot Solo Tekan MoU Terkait Pekerja Migran, Apa Saja Isinya?;14/04/2025;1
Prabowo Ucapkan Selamat Ulang Tahun ke Titiek Soeharto, Unggah Foto Lawas Bareng Pak Harto;14/04/2025;1
Tak Hadiri Undangan Diskusi Ahmad Dhani, Judika: Dianggap Maling, Menyakitkan;14/04/2025;1
Link Live Streaming Timnas U17 Indonesia Vs Korea Utara Malam Ini, Garuda Asia Jaga Asa Juara;14/04/2025;1
Tak Dapat Emas, Warga Akan Datang ke Butik Antam Pulogadung Besok;14/04/2025;1
Cara Sederhana Bedakan Uang Palsu dan Asli, Kenali Cirinya;14/04/2025;1
Polisi Cek CCTV di Lokasi Penculikan Anak di Pasar Rebo;14/04/2025;1
Kebudayaan Daerah: Definisi dan Sifatnya;14/04/2025;1
Survei: 53,4 Persen Pemudik Naik Angkutan Umum, Terbanyak Pakai Bus;14/04/2025;1
Dibangun Megah, Makam Palsu Mbah Sobari di Ponorogo Dibongkar Warga;14/04/2025;1
Jembatan Ikonik Bangka Belitung Kini hanya Pajangan, Tak Lagi Berfungsi;14/04/2025;1
Ayah di Bekasi Perkosa Anak Tiri hingga Hamil;14/04/2025;1
Timnas U17 Vs Korea Utara, Erick Thohir Tantang Garuda Asia untuk Buat Sejarah Baru;14/04/2025;1
Kembang Api Liar Meledak di Tengah Kerumunan Saat Green Day Tampil di Coachella 2025;14/04/2025;1
DiscoveRun 2025 Digelar di Makassar, Ada Donasi Energi Listrik Ramah Lingkungan;14/04/2025;1
Heliport Golo Mori Besutan ITDC Rampung Dibangun;14/04/2025;1
7 Kandungan Skincare Terbaik untuk Menjaga Hidrasi Kulit Saat Musim Kemarau;14/04/2025;1
Olah Sampah Jogja, ITF Bawuran Siap Beroperasi Akhir April, Apa yang Sudah Diuji?;14/04/2025;1
Kapolri Rotasi 36 Kapolda, Tiga Eks KPK Pimpin Polda Strategis;14/04/2025;1
Yakin Kopdes Merah Putih Bisa Hilangkan Tengkulak, Zulhas: Mau Main di Mana?;14/04/2025;1
Batam Resmi Punya 5 Pelabuhan Internasional, Kapolri Ingatkan Pengawasan Perdagangan Manusia;14/04/2025;1
Cerita Teman Jokowi di UGM: Kami Seangkatan, Masuk pada 1980;14/04/2025;1
Pakistan Jadi Incaran Baru AS untuk Investasi Mineral Langka;14/04/2025;1
Pramono Sebut Keringanan Pajak Tontonan 60 Persen Hanya untuk Persija;14/04/2025;1
Kubu Jokowi Ultimatum Penyebar Isu Ijazah Palsu, Ancam Tempuh Jalur Hukum;14/04/2025;1
